Image URL,Alt Text,Alt Text Variants,Status,Issues,Title,Title Variants,ARIA Label,ARIA Label Variants,ARIA Describedby,ARIA Describedby Variants,Longdesc,Role,Visible,Width,Height,Occurrences,Page Count,Found On Pages
https://www.nationalarchives.gov.uk/media/images/operations-record-bo_adHXw28.2e16d0ba.fill-600x400.format-jpeg.jpegquality-60.bgcolor-fff.jpg,Black and white photo of people standing in front of a Union Jack. People are wearing the WAAF and RAF uniforms while one person is dressed as Winston Churchill.,Black and white photo of people standing in front of a Union Jack. People are wearing the WAAF and RAF uniforms while one person is dressed as Winston Churchill. [10],SUSPICIOUS,"Alt text contains redundant phrase ""photo of""",,(missing) [10],,(missing) [10],,(missing) [10],,,true,600,400,10,10,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/second-world-war/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/military-and-war/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/radclyffe-hall/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/maud-allan/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/sophia-todd/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/margaret-bondfield/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/caravan-club/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/ivor-cummings/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/the-imperial-typewriters-dispute/
https://www.nationalarchives.gov.uk/media/images/hp-suffragettes-camp_dEt3l2v.34aa057b.fill-600x400.format-jpeg.jpegquality-60.bgcolor-fff.jpg,A photo of two women standing besides pillars outside the House of Commons. Police are watching on.,A photo of two women standing besides pillars outside the House of Commons. Police are watching on. [4],SUSPICIOUS,"Alt text contains redundant phrase ""photo of""",,(missing) [4],,(missing) [4],,(missing) [4],,,true,600,400,4,4,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/identity-and-community/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/early-20th-century/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/list-of-suffragettes-arrested-from-1906-1914/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/democracy-and-protest/
https://www.nationalarchives.gov.uk/media/images/crim-1-617-cr_FTdwGP9.2e16d0ba.fill-600x400.format-jpeg.jpegquality-60.bgcolor-fff.jpg,"Black and white photo of a public toilet building between lampposts, with roads either side.","Black and white photo of a public toilet building between lampposts, with roads either side. [3]",SUSPICIOUS,"Alt text contains redundant phrase ""photo of""",,(missing) [3],,(missing) [3],,(missing) [3],,,true,600,400,3,3,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/crime-courts-and-justice/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/identity-and-community/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/interwar/
https://www.nationalarchives.gov.uk/media/images/hg-church-finance-valuation.5eed15a0.fill-600x400.format-jpeg.jpegquality-60.bgcolor-fff.jpg,The top of a document that has been richly illustrated with a picture of Henry VIII on his throne.,The top of a document that has been richly illustrated with a picture of Henry VIII on his throne. [2] | (empty) [1],SUSPICIOUS,"Alt text contains redundant phrase ""picture of""",,(missing) [3],,(missing) [3],,(missing) [3],,,true,600,400,3,3,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/early-modern/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/; https://www.nationalarchives.gov.uk/explore-the-collection/stories/richard-iii/
https://www.nationalarchives.gov.uk/media/images/bethnal-green-tube-d_nMdRn5N.2e16d0ba.fill-600x400.format-jpeg.jpegquality-60.bgcolor-fff.jpg,Newspaper clipping with a photo of people gathered outside the entrance.,Newspaper clipping with a photo of people gathered outside the entrance. [2],SUSPICIOUS,"Alt text contains redundant phrase ""photo of""",,(missing) [2],,(missing) [2],,(missing) [2],,,true,384,256,2,2,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/second-world-war/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/military-and-war/
https://www.nationalarchives.gov.uk/media/images/hg-map-of-chertsey-_nV6JcEx.f8720379.fill-600x400.format-jpeg.jpegquality-60.bgcolor-fff.jpg,Map featuring several buildings with red-tiled rooves and a detailed image of a church.,Map featuring several buildings with red-tiled rooves and a detailed image of a church. [2],SUSPICIOUS,"Alt text contains redundant phrase ""image of""",,(missing) [2],,(missing) [2],,(missing) [2],,,true,600,400,2,2,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/land-and-buildings/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/early-modern/
https://www.nationalarchives.gov.uk/media/images/hg-mental-nursing-nhs_ui.81fbbcef.fill-600x400.format-jpeg.jpegquality-60.bgcolor-fff.jpg,Test,Test [2],SUSPICIOUS,"Alt text ""Test"" is not descriptive",,(missing) [2],,(missing) [2],,(missing) [2],,,true,600,400,2,2,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/health-and-welfare/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/postwar/
https://www.nationalarchives.gov.uk/media/images/hg-veterans-crimea_v6CTI7k.87a3a7c1.fill-600x400.format-jpeg.jpegquality-60.bgcolor-fff.jpg,"Posed black and white photo of seven men, four on chairs and three standing behind, wearing medals.","Posed black and white photo of seven men, four on chairs and three standing behind, wearing medals. [2]",SUSPICIOUS,"Alt text contains redundant phrase ""photo of""",,(missing) [2],,(missing) [2],,(missing) [2],,,true,600,400,2,2,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/victorians/; https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/military-and-war/
https://www.nationalarchives.gov.uk/media/images/hg-brixton-rio.max-1024x1024.format-webp.webpquality-70.webp,Black and white photo of a car with smashed windows lying on its side in the street.,Black and white photo of a car with smashed windows lying on its side in the street. [1],SUSPICIOUS,"Alt text contains redundant phrase ""photo of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,1024,649,1,1,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-topic/democracy-and-protest/protest-20th-century/
https://www.nationalarchives.gov.uk/media/images/hg-church-fina.max-1024x1024.format-webp.webpquality-70.webp,The top of a document that has been richly illustrated with a picture of Henry VIII on his throne.,The top of a document that has been richly illustrated with a picture of Henry VIII on his throne. [1],SUSPICIOUS,"Alt text contains redundant phrase ""picture of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,1024,534,1,1,https://www.nationalarchives.gov.uk/explore-the-collection/explore-by-time-period/early-modern/the-dissolution-of-the-monasteries/
