issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,fetch_error,page_title
29,European Cities,https://www.mos.ru/,https://www.mos.ru/,,false,false,10545,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,fetch failed,
29,European Cities,https://www.london.gov.uk/,https://www.london.gov.uk/,200,true,false,297,true,2028,42,282,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r43;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r60;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r86;https://alfa.siteimprove.com/rules/sia-r87,,true,1357,1,5,36,svg-img-alt,,,Home page - London City Hall
29,European Cities,http://gov.spb.ru/,http://gov.spb.ru/,,false,false,10494,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,fetch failed,
29,European Cities,https://www.berlin.de/,https://www.berlin.de/,403,false,false,466,true,1261,80,33,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r64;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74,,true,889,8,14,46,color-contrast;empty-heading;landmark-contentinfo-is-top-level;landmark-no-duplicate-contentinfo;landmark-unique,,,Unerwünschter Zugriff / Forbidden access
29,European Cities,https://www.madrid.es/,https://www.madrid.es/portal/site/munimadrid,200,true,true,316,true,1452,199,149,45,https://alfa.siteimprove.com/rules/sia-r110;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r21;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r42;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r83;https://alfa.siteimprove.com/rules/sia-r87,,true,1089,90,76,41,aria-allowed-attr;aria-prohibited-attr;aria-required-children;aria-required-parent;aria-roles;aria-valid-attr-value;image-redundant-alt;listitem;region;scope-attr-valid,,,Inicio - Ayuntamiento de Madrid
29,European Cities,https://kyivcity.gov.ua/,https://kyivcity.gov.ua/,403,false,false,180,true,68,2,1,61,https://alfa.siteimprove.com/rules/sia-r9;https://alfa.siteimprove.com/rules/sia-r96,,true,66,1,0,61,meta-refresh,,,Just a moment...
29,European Cities,https://www.comune.roma.it/,https://www.comune.roma.it/web/it/home.page,200,true,true,2376,true,13,7,10,76,https://alfa.siteimprove.com/rules/sia-r4;https://alfa.siteimprove.com/rules/sia-r47;https://alfa.siteimprove.com/rules/sia-r59;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r87,,false,0,0,0,0,,"page.goto: net::ERR_CONNECTION_CLOSED at https://www.comune.roma.it/web/it/home.page
Call log:
  - navigating to ""https://www.comune.roma.it/web/it/home.page"", waiting until ""domcontentloaded""
",,Roma Capitale | Sito Istituzionale | Home
29,European Cities,https://almaty.kz/,https://www.almaty.kz/,200,true,true,3125,true,859,215,107,49,https://alfa.siteimprove.com/rules/sia-r1;https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r75;https://alfa.siteimprove.com/rules/sia-r80,,true,875,50,4,58,color-contrast;document-title;heading-order;landmark-one-main;landmark-unique;link-name;region,,,
29,European Cities,https://www.paris.fr/,https://www.paris.fr/,200,true,false,145,true,1642,89,19,44,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,1278,4,42,41,label-title-only;link-name,,,"Paris.fr, site officiel de la Ville de Paris"
29,European Cities,https://www.wien.gv.at/,https://www.wien.gv.at/,206,true,false,944,false,0,0,0,0,,"RangeError: Invalid string length
    at stringify (<anonymous>)
    at JSON (file:///home/runner/work/alfa-scan/alfa-scan/node_modules/@siteimprove/alfa-formatter-json/dist/json.js:8:16)
    at run (file:///home/runner/work/alfa-scan/alfa-scan/node_modules/@siteimprove/alfa-cli/bin/alfa/command/audit/run.js:79:41)",true,1215,15,25,44,region;svg-img-alt,,,Stadt Wien - Offizielle &amp; aktuelle Infos und Services der Wiener Stadtverwaltung
29,European Cities,https://minsk.gov.by/,https://minsk.gov.by/,503,false,false,813,true,3,4,0,84,https://alfa.siteimprove.com/rules/sia-r1;https://alfa.siteimprove.com/rules/sia-r4;https://alfa.siteimprove.com/rules/sia-r59;https://alfa.siteimprove.com/rules/sia-r87,,true,2,4,0,83,document-title;html-has-lang;landmark-one-main;page-has-heading-one,,,
29,European Cities,https://www.hamburg.de/,https://www.hamburg.de/,200,true,false,690,true,4075,144,4,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r87,,true,1500,3,3,47,aria-hidden-focus;button-name,,,Hamburg.de Startseite - hamburg.de
