issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
82,DARK MODE cloudscape.design,https://cloudscape.design/,https://cloudscape.design/,200,true,false,23779,true,709,124,39,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,779,25,2,53,aria-allowed-role;landmark-one-main;region,,true,2507,57,42,15,24,0,aria_content_in_landmark;aria_role_valid;element_attribute_deprecated;element_orientation_unlocked;element_tabbable_unobscured;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,true,90,2,2,0,0,0,aria/aria-allowed-role;landmarks/landmark-main,,true,414,31,66,8,QW-ACT-R28;QW-ACT-R76,,149,,Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/foundation/core-principles/accessibility/,https://cloudscape.design/foundation/core-principles/accessibility/,200,true,false,19351,true,476,32,13,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,691,1,4,51,aria-allowed-role,,true,1890,45,45,0,33,0,aria_content_in_landmark;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,88,4,4,0,0,0,aria/aria-allowed-role;labels-and-names/label-content-mismatch,,true,386,13,54,6,QW-ACT-R28;QW-ACT-R30;QW-ACT-R76,,24,,Accessibility - Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/foundation/core-principles/accessibility/Building-accessible-experiences/,https://cloudscape.design/foundation/core-principles/accessibility/Building-accessible-experiences/,200,true,false,30653,true,1821,67,66,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,1523,1,4,50,aria-allowed-role,,true,4549,69,68,1,57,0,aria_content_in_landmark;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;target_spacing_sufficient;text_block_heading;text_quoted_correctly;text_sensory_misuse,,true,88,4,4,0,0,0,aria/aria-allowed-role;labels-and-names/label-content-mismatch,,true,835,45,112,24,QW-ACT-R28;QW-ACT-R30;QW-ACT-R76,,92,,Building accessible experiences - Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/foundation/core-principles/accessibility/focus-management-principles/,https://cloudscape.design/foundation/core-principles/accessibility/focus-management-principles/,200,true,false,23673,true,1190,46,37,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,1217,3,4,50,aria-allowed-role;list,,true,3485,61,59,2,48,0,aria_child_valid;aria_content_in_landmark;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,true,86,6,6,0,0,0,adaptable/list-children;aria/aria-allowed-role;labels-and-names/label-content-mismatch,,true,685,24,83,17,QW-ACT-R28;QW-ACT-R30;QW-ACT-R76,,51,,Focus management principles - Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/about/,https://cloudscape.design/about/,200,true,false,20991,true,665,40,29,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,727,1,1,50,aria-allowed-role,,true,2181,25,25,0,20,0,aria_content_in_landmark;aria_role_valid;caption_track_exists;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;media_keyboard_controllable;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,90,2,2,0,0,0,aria/aria-allowed-role;labels-and-names/label-content-mismatch,,true,399,23,58,13,QW-ACT-R28;QW-ACT-R76,,47,,About Cloudscape - Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/patterns/general/service-dashboard/,https://cloudscape.design/patterns/general/service-dashboard/,200,true,false,23092,true,840,46,31,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r77;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,1351,2,28,46,aria-allowed-role;empty-table-header,,true,3796,114,113,1,87,0,aria_accessiblename_exists;aria_content_in_landmark;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,true,87,5,5,0,0,0,adaptable/empty-table-header;aria/aria-allowed-role;labels-and-names/label-content-mismatch,,false,0,0,0,0,,QualWeb evaluation returned no report,25,,Service dashboards - Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/patterns/general/service-navigation/,https://cloudscape.design/patterns/general/service-navigation/,200,true,false,23054,true,989,48,37,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r77;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,1469,2,27,44,aria-allowed-role;empty-table-header,,true,4196,132,129,3,104,0,aria_accessiblename_exists;aria_content_in_landmark;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;target_spacing_sufficient;text_block_heading;text_sensory_misuse,,true,87,5,5,0,0,0,adaptable/empty-table-header;aria/aria-allowed-role;labels-and-names/label-content-mismatch,,false,0,0,0,0,,QualWeb evaluation returned no report,30,,Service navigation - Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/about/connect/,https://cloudscape.design/about/connect/,200,true,false,18627,true,743,41,23,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,815,1,0,52,aria-allowed-role,,true,2221,22,22,0,15,0,aria_content_in_landmark;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,true,88,4,4,0,0,0,aria/aria-allowed-role;labels-and-names/label-content-mismatch,,true,459,13,48,6,QW-ACT-R28;QW-ACT-R30;QW-ACT-R76,,32,,Connect - Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/components/help-panel/,https://cloudscape.design/components/help-panel/,200,true,false,26738,true,315,28,10,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,2756,2,93,42,aria-allowed-role;scrollable-region-focusable,,true,3442,72,72,0,66,0,aria_content_in_landmark;aria_keyboard_handler_exists;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;target_spacing_sufficient;text_block_heading,,true,90,2,2,0,0,0,aria/aria-allowed-role;labels-and-names/label-content-mismatch,,false,0,0,0,0,,QualWeb evaluation returned no report,13,,Help panel - Cloudscape Design System
82,DARK MODE cloudscape.design,https://cloudscape.design/components/support-prompt-group/,https://cloudscape.design/components/support-prompt-group/,200,true,false,26898,true,315,28,10,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r87,,true,1839,3,74,45,aria-allowed-role;aria-prohibited-attr;scrollable-region-focusable,,true,3512,70,70,0,64,0,aria_content_in_landmark;aria_keyboard_handler_exists;aria_role_valid;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;target_spacing_sufficient;text_block_heading,,true,90,2,2,0,0,0,aria/aria-allowed-role;labels-and-names/label-content-mismatch,,false,0,0,0,0,,QualWeb evaluation returned no report,13,,Support prompt group - Cloudscape Design System
