Image URL,Alt Text,Alt Text Variants,Status,Issues,Title,Title Variants,ARIA Label,ARIA Label Variants,ARIA Describedby,ARIA Describedby Variants,Longdesc,Role,Visible,Width,Height,Occurrences,Page Count,Found On Pages
https://www.legislation.gov.uk/images/chrome/closeIcon.gif,Close,Close [19],SUSPICIOUS,"Alt text ""Close"" is a single word; consider a more descriptive phrase that explains the image's purpose in context",,(missing) [19],,(missing) [19],,(missing) [19],,,true,22,23,19,8,https://www.legislation.gov.uk/new; https://www.legislation.gov.uk/new/uk; https://www.legislation.gov.uk/new/scotland; https://www.legislation.gov.uk/new/wales; https://www.legislation.gov.uk/new/ni; https://www.legislation.gov.uk/search; https://www.legislation.gov.uk/search/point-in-time; https://www.legislation.gov.uk/changestolegislation
https://www.legislation.gov.uk/images/maps/activeScotland.gif,Scotland,Scotland [1],SUSPICIOUS,"Alt text ""Scotland"" is a single word; consider a more descriptive phrase that explains the image's purpose in context",,(missing) [1],,(missing) [1],,(missing) [1],,,true,255,237,1,1,https://www.legislation.gov.uk/explore/scotland
https://www.legislation.gov.uk/images/analytics/cookiesBannerIgnored.gif,,(empty) [22],DECORATIVE,,,(missing) [22],,(missing) [22],,(missing) [22],,,true,1,1,22,22,https://www.legislation.gov.uk/; https://www.legislation.gov.uk/new; https://www.legislation.gov.uk/new/uk; https://www.legislation.gov.uk/new/scotland; https://www.legislation.gov.uk/new/wales; https://www.legislation.gov.uk/new/ni; https://www.legislation.gov.uk/explore; https://www.legislation.gov.uk/explore/uk; https://www.legislation.gov.uk/explore/scotland; https://www.legislation.gov.uk/explore/wales; https://www.legislation.gov.uk/explore/ni; https://www.legislation.gov.uk/search; https://www.legislation.gov.uk/search/point-in-time; https://www.legislation.gov.uk/changestolegislation; https://www.legislation.gov.uk/about-us; https://www.legislation.gov.uk/faqs; https://www.legislation.gov.uk/help; https://www.legislation.gov.uk/sitemap; https://www.legislation.gov.uk/glossary; https://www.legislation.gov.uk/accessibility; https://www.legislation.gov.uk/usefullinks; https://www.legislation.gov.uk/contact-us
https://www.legislation.gov.uk/images/chrome/ogl-symbol.gif,OGL logo,OGL logo [22],GOOD,,,(missing) [22],,(missing) [22],,(missing) [22],,,false,41,17,22,22,https://www.legislation.gov.uk/; https://www.legislation.gov.uk/new; https://www.legislation.gov.uk/new/uk; https://www.legislation.gov.uk/new/scotland; https://www.legislation.gov.uk/new/wales; https://www.legislation.gov.uk/new/ni; https://www.legislation.gov.uk/explore; https://www.legislation.gov.uk/explore/uk; https://www.legislation.gov.uk/explore/scotland; https://www.legislation.gov.uk/explore/wales; https://www.legislation.gov.uk/explore/ni; https://www.legislation.gov.uk/search; https://www.legislation.gov.uk/search/point-in-time; https://www.legislation.gov.uk/changestolegislation; https://www.legislation.gov.uk/about-us; https://www.legislation.gov.uk/faqs; https://www.legislation.gov.uk/help; https://www.legislation.gov.uk/sitemap; https://www.legislation.gov.uk/glossary; https://www.legislation.gov.uk/accessibility; https://www.legislation.gov.uk/usefullinks; https://www.legislation.gov.uk/contact-us
https://www.legislation.gov.uk/images/chrome/atomFeedIcon.gif,Atom feed help,Atom feed help [5],GOOD,,,(missing) [5],,(missing) [5],,(missing) [5],,,true,77,17,5,5,https://www.legislation.gov.uk/new; https://www.legislation.gov.uk/new/uk; https://www.legislation.gov.uk/new/scotland; https://www.legislation.gov.uk/new/wales; https://www.legislation.gov.uk/new/ni
https://www.legislation.gov.uk/images/chrome/atomHelpIcon.gif,Atom feed help,Atom feed help [5],GOOD,,,(missing) [5],,(missing) [5],,(missing) [5],,,true,18,17,5,5,https://www.legislation.gov.uk/new; https://www.legislation.gov.uk/new/uk; https://www.legislation.gov.uk/new/scotland; https://www.legislation.gov.uk/new/wales; https://www.legislation.gov.uk/new/ni
https://www.legislation.gov.uk/images/chrome/helpIcon.gif,Help about Legislation Type searching,Help about Legislation Type searching [2] | Help about Number and Series searching [2] | Help about Title searching [2] | Changes that affect help [1] | Help about language searching [1] | Help about Point In Time searching [1] | Help about Specific Year searching [1] | Help about Year Range searching [1] | Made by help [1] | Results showing help [1],GOOD,,,(missing) [13],,(missing) [13],,(missing) [13],,,true,16,16,13,3,https://www.legislation.gov.uk/search; https://www.legislation.gov.uk/search/point-in-time; https://www.legislation.gov.uk/changestolegislation
https://www.legislation.gov.uk/images/chrome/icon_feed_small.png,Icon for Data Feed Link,Icon for Data Feed Link [1] | UK Statutory Instruments Feed [1],GOOD,,,(missing) [2],,(missing) [2],,(missing) [2],,,true,14,14,2,2,https://www.legislation.gov.uk/new; https://www.legislation.gov.uk/new/uk
https://www.legislation.gov.uk/images/chrome/site_logo_legislation.gif,legislation.gov.uk homepage call-to-action widget,legislation.gov.uk homepage call-to-action widget [1],GOOD,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,319,97,1,1,https://www.legislation.gov.uk/
https://www.legislation.gov.uk/images/maps/activeNi.gif,Northern Ireland,Northern Ireland [1],GOOD,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,255,237,1,1,https://www.legislation.gov.uk/explore/ni
https://www.legislation.gov.uk/images/maps/activeUk.gif,United Kingdom (UK),United Kingdom (UK) [1],GOOD,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,255,237,1,1,https://www.legislation.gov.uk/explore/uk
https://www.legislation.gov.uk/images/maps/activeWales.gif,"Wales Map, active","Wales Map, active [1]",GOOD,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,255,237,1,1,https://www.legislation.gov.uk/explore/wales
