Image URL,Alt Text,Alt Text Variants,Status,Issues,Title,Title Variants,ARIA Label,ARIA Label Variants,ARIA Describedby,ARIA Describedby Variants,Longdesc,Role,Visible,Width,Height,Occurrences,Page Count,Found On Pages
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2013/10/01-whitehall-new-image-tab-620x235.png,"A screenshot of the new image upload tab. It includes guidance on what kind of file to use, a prompt for the user to choose a file from their device and subsequently upload it.","A screenshot of the new image upload tab. It includes guidance on what kind of file to use, a prompt for the user to choose a file from their device and subsequently upload it. [1]",SUSPICIOUS,"Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,235,1,1,https://insidegovuk.blog.gov.uk/2023/08/10/making-it-easier-to-add-images-on-gov-uk/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2019/06/blog-ethnicity-in-the-uk-page-e1561467540795.png,A screenshot of the ethnicity in the uk page,A screenshot of the ethnicity in the uk page [1],SUSPICIOUS,"Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,413,1,1,https://insidegovuk.blog.gov.uk/2019/06/26/guest-post-why-we-deleted-one-of-our-most-popular-pages/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2019/08/Reshuffle-mode-screenshot-620x351.png,Screenshot of reshuffle mode for Ministers page on GOV.UK,Screenshot of reshuffle mode for Ministers page on GOV.UK [1],SUSPICIOUS,"Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,351,1,1,https://insidegovuk.blog.gov.uk/2019/08/16/updating-gov-uk-during-a-reshuffle/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2020/05/Introduction-to-Content-Design-sign-up-page-620x297.png,"A screenshot of the sign-up page for the 'Introduction to Content design' course on Future Learn. It includes an image of 5 participants talking and sticking post-its on a wall, and a description of the course: ""Discover the fundamentals of content design. Learn about user-centred content that's easy for everyone to understand and access"".","A screenshot of the sign-up page for the 'Introduction to Content design' course on Future Learn. It includes an image of 5 participants talking and sticking post-its on a wall, and a description of the course: ""Discover the fundamentals of content design. Learn about user-centred content that's easy for everyone to understand and access"". [1]",SUSPICIOUS,"Alt text contains redundant phrase ""image of""; Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,297,1,1,https://insidegovuk.blog.gov.uk/2020/05/07/six-lessons-from-gdss-introduction-to-content-design-course/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2020/12/v2.-control-how-we-use-info-about-you-620x923.png,Screenshot of the privacy screen for the live experiment. Title on page is Control how we use information about you with 2 subheadings on Data about how you use GOV.UK and Feedback about your GOV.UK account. Both subheadings show radio buttons in use,Screenshot of the privacy screen for the live experiment. Title on page is Control how we use information about you with 2 subheadings on Data about how you use GOV.UK and Feedback about your GOV.UK account. Both subheadings show radio buttons in use [1],SUSPICIOUS,"Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,923,1,1,https://insidegovuk.blog.gov.uk/2020/12/09/five-things-weve-learned-from-researching-the-gov-uk-account/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2021/03/47757563072_eb4c6f7d7b_c-620x414.jpg,An image of someone reading a magazine about content design. On the page it says ‘Content design makes things so much easier for the user to complete’.,An image of someone reading a magazine about content design. On the page it says ‘Content design makes things so much easier for the user to complete’. [1],SUSPICIOUS,"Alt text contains redundant phrase ""image of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,414,1,1,https://insidegovuk.blog.gov.uk/2021/03/01/moving-into-content-design/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2021/04/image3-620x349.jpg,"On the left, a screenshot of the “Accounts and tax return for private limited companies'' guidance page on GOV.UK with a red circle around the title of the page to indicate information extracted to the spreadsheet and service map. On the right, an image of another guidance page on GOV.UK with multiple links circled in red.","On the left, a screenshot of the “Accounts and tax return for private limited companies'' guidance page on GOV.UK with a red circle around the title of the page to indicate information extracted to the spreadsheet and service map. On the right, an image of another guidance page on GOV.UK with multiple links circled in red. [1]",SUSPICIOUS,"Alt text contains redundant phrase ""image of""; Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,349,1,1,https://insidegovuk.blog.gov.uk/2021/04/28/scoping-the-starting-and-sustaining-a-business-whole-user-journey/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2021/05/image3-620x599.png,Screenshot of the hub page tested for starting a business,Screenshot of the hub page tested for starting a business [1],SUSPICIOUS,"Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,599,1,1,https://insidegovuk.blog.gov.uk/2021/06/02/how-we-are-creating-a-product-to-help-new-business-owners/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2021/06/image2-620x466.png,"Screenshot of error page on GOV.UK saying ""Error 503 Service Unavailable. Guru Mediation: Details: cache-lon4229-LON 1623147191 1303196230. Varnish cache server","Screenshot of error page on GOV.UK saying ""Error 503 Service Unavailable. Guru Mediation: Details: cache-lon4229-LON 1623147191 1303196230. Varnish cache server [1]",SUSPICIOUS,"Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,466,1,1,https://insidegovuk.blog.gov.uk/2021/06/11/incident-report-gov-uk-outage-on-8-june-2021/
https://insidegovuk.blog.gov.uk/wp-content/uploads/sites/24/2021/08/image1-1-620x108.png,Screenshot of GOV.UK with the user feedback banner,Screenshot of GOV.UK with the user feedback banner [1],SUSPICIOUS,"Alt text contains redundant phrase ""screenshot of""",,(missing) [1],,(missing) [1],,(missing) [1],,,true,620,108,1,1,https://insidegovuk.blog.gov.uk/2021/08/16/working-with-user-feedback-during-covid-19/
