issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,fetch_error,page_title
18,Government of Canada,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/index.cfm?Lang=F,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/index.cfm?Lang=F,200,true,false,489,true,1440,100,66,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r42;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r68,,false,0,0,0,0,,axe.analyze is not a function,,"Profil du recensement, Recensement de la population de 2021"
18,Government of Canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/compte.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/compte.html,200,true,false,3166,true,750,47,47,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Ouvrir une session dans votre compte sécurisé d’IRCC - Canada.ca
18,Government of Canada,https://www.canada.ca/fr/agence-revenu.html,https://www.canada.ca/fr/agence-revenu.html,200,true,false,2119,true,973,83,53,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Agence du revenu du Canada (ARC) - Canada.ca
18,Government of Canada,https://www.guichetemplois.gc.ca/rechercheemplois/resultats,https://www.guichetemplois.gc.ca/rechercheemplois/resultats,404,false,false,607,true,737,15,1,55,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r17;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,false,0,0,0,0,,axe.analyze is not a function,,Erreur HTTP 404 - Non trouvé - Guichet-Emplois
18,Government of Canada,https://www.canada.ca/fr.html,https://www.canada.ca/fr.html,200,true,false,3104,true,688,63,65,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Accueil - Canada.ca
18,Government of Canada,https://www.canada.ca/fr/services/prestations.html,https://www.canada.ca/fr/services/prestations.html,200,true,false,2121,true,694,54,47,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Prestations - Canada.ca
18,Government of Canada,https://www.canada.ca/en/news.html,https://www.canada.ca/en/news.html,200,true,false,1197,true,505,43,47,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r78,,false,0,0,0,0,,axe.analyze is not a function,,News - Canada.ca
18,Government of Canada,https://www.canada.ca/fr/nouvelles.html,https://www.canada.ca/fr/nouvelles.html,200,true,false,1137,true,504,43,47,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r78,,false,0,0,0,0,,axe.analyze is not a function,,Nouvelles - Canada.ca
18,Government of Canada,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/application-visitor-visa-imm5257.html,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/application-visitor-visa-imm5257.html,404,false,false,3161,true,314,32,48,52,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61,,false,0,0,0,0,,axe.analyze is not a function,,Not Found - Canada.ca
18,Government of Canada,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/forms.html,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/forms.html,200,true,false,2070,true,2670,145,52,44,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r74,,false,0,0,0,0,,axe.analyze is not a function,,Find a passport or travel document form - Canada.ca
