Image URL,Alt Text,Alt Text Variants,Status,Issues,Title,Title Variants,ARIA Label,ARIA Label Variants,ARIA Describedby,ARIA Describedby Variants,Longdesc,Role,Visible,Width,Height,Occurrences,Page Count,Found On Pages
https://www.ontario.ca/themes/ontario_2021/assets/ontario-logo--desktop.svg,Government of Ontario home page,Government of Ontario home page [27] | Page d'accueil du gouvernement de l'Ontario [2],SUSPICIOUS,"Image is marked decorative (aria-hidden or role=""presentation/none"") but has non-empty alt text",,(missing) [29],,(missing) [29],,(missing) [29],,,true,300,75,29,29,https://ontario.ca/; https://ontario.ca/page/benefits-and-taxes; https://ontario.ca/page/business-and-economy; https://ontario.ca/page/courts-justice-and-law; https://ontario.ca/page/driving-and-road-safety; https://ontario.ca/page/education-and-apprenticeships; https://ontario.ca/page/environment-and-energy; https://ontario.ca/page/family-and-social-services; https://ontario.ca/page/government; https://ontario.ca/page/your-health; https://ontario.ca/page/heritage-arts-and-history; https://ontario.ca/page/home-and-housing; https://ontario.ca/page/immigrate-to-ontario; https://ontario.ca/page/jobs-and-employment; https://ontario.ca/page/land-use-planning; https://ontario.ca/page/recreation-and-tourism; https://ontario.ca/page/rural-agriculture-and-north; https://ontario.ca/page/government-ontario; https://ontario.ca/fr/page/gouvernement-de-lontario; https://ontario.ca/feedback/contact-us?id=7476&amp;nid=540561; https://ontario.ca/fr/page/avantages-fiscaux-et-impots; https://ontario.ca/page/tax-credits-and-benefits-people; https://ontario.ca/page/tax-credits-and-benefits-topic; https://ontario.ca/page/find-benefits-and-programs; https://ontario.ca/page/ministry-finance-tax-talk-information-sessions; https://ontario.ca/page/ontario-disability-support-program; https://ontario.ca/page/ontario-trillium-benefit; https://ontario.ca/page/ontario-works; https://ontario.ca/document/beer-and-wine-tax
https://www.ontario.ca/themes/ontario_2021/assets/ontario-logo--mobile.svg,Government of Ontario home page,Government of Ontario home page [27] | Page d'accueil du gouvernement de l'Ontario [2],SUSPICIOUS,"Image is marked decorative (aria-hidden or role=""presentation/none"") but has non-empty alt text",,(missing) [29],,(missing) [29],,(missing) [29],,,false,46,46,29,29,https://ontario.ca/; https://ontario.ca/page/benefits-and-taxes; https://ontario.ca/page/business-and-economy; https://ontario.ca/page/courts-justice-and-law; https://ontario.ca/page/driving-and-road-safety; https://ontario.ca/page/education-and-apprenticeships; https://ontario.ca/page/environment-and-energy; https://ontario.ca/page/family-and-social-services; https://ontario.ca/page/government; https://ontario.ca/page/your-health; https://ontario.ca/page/heritage-arts-and-history; https://ontario.ca/page/home-and-housing; https://ontario.ca/page/immigrate-to-ontario; https://ontario.ca/page/jobs-and-employment; https://ontario.ca/page/land-use-planning; https://ontario.ca/page/recreation-and-tourism; https://ontario.ca/page/rural-agriculture-and-north; https://ontario.ca/page/government-ontario; https://ontario.ca/fr/page/gouvernement-de-lontario; https://ontario.ca/feedback/contact-us?id=7476&amp;nid=540561; https://ontario.ca/fr/page/avantages-fiscaux-et-impots; https://ontario.ca/page/tax-credits-and-benefits-people; https://ontario.ca/page/tax-credits-and-benefits-topic; https://ontario.ca/page/find-benefits-and-programs; https://ontario.ca/page/ministry-finance-tax-talk-information-sessions; https://ontario.ca/page/ontario-disability-support-program; https://ontario.ca/page/ontario-trillium-benefit; https://ontario.ca/page/ontario-works; https://ontario.ca/document/beer-and-wine-tax
https://www.ontario.ca/files/2024-03/serviceontario-plate-and-cards-417x311.png,,(empty) [2],DECORATIVE,,,(missing) [2],,(missing) [2],,(missing) [2],,,true,417,311,2,2,https://ontario.ca/page/government-ontario; https://ontario.ca/fr/page/gouvernement-de-lontario
https://www.ontario.ca/files/2025-06/co-foodland-544x272.jpg,,(empty) [2],DECORATIVE,,,(missing) [2],,(missing) [2],,(missing) [2],,,true,544,272,2,2,https://ontario.ca/page/government-ontario; https://ontario.ca/fr/page/gouvernement-de-lontario
https://www.ontario.ca/files/2025-06/co-plan-to-protect-ontario-544x272-2025-06-24.jpg,,(empty) [2],DECORATIVE,,,(missing) [2],,(missing) [2],,(missing) [2],,,true,544,272,2,2,https://ontario.ca/page/government-ontario; https://ontario.ca/fr/page/gouvernement-de-lontario
https://files.ontario.ca/get-skills-2x.jpg,,(empty) [1],DECORATIVE,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,926,500,1,1,https://ontario.ca/page/jobs-and-employment
https://files.ontario.ca/post-a-job-1122.jpg,,(empty) [1],DECORATIVE,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,930,450,1,1,https://ontario.ca/page/jobs-and-employment
https://www.ontario.ca/files/2022-04/medjct-business-and-economy-get-custom-guide-544x272-2022-04-08.jpg,,(empty) [1],DECORATIVE,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,544,272,1,1,https://ontario.ca/page/business-and-economy
https://www.ontario.ca/files/2022-04/medjct-business-and-economy-program-by-region-520x371-2022-04-08.jpg,,(empty) [1],DECORATIVE,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,520,371,1,1,https://ontario.ca/page/business-and-economy
https://www.ontario.ca/files/2022-04/medjct-business-and-economy-start-a-business-en-544x272-2022-04-08.jpg,,(empty) [1],DECORATIVE,,,(missing) [1],,(missing) [1],,(missing) [1],,,true,544,272,1,1,https://ontario.ca/page/business-and-economy
